county,year,totalPopulation
San Juan,2004,634
Pitkin,2001,16183
Teller,2028,26690
Weld,2042,549518
Costilla,2006,3700
El Paso,2039,922463
Broomfield,2016,67702
Las Animas,2045,12257
Jackson,2019,1378
Chaffee,1998,15528
Broomfield,2000,38545
Eagle,2017,53719
Kit Carson,2014,7665
Montrose,2025,45521
Elbert,2044,37875
Washington,2043,4606
San Miguel,1991,4124
Washington,2033,4923
Pueblo,2008,156250
Gunnison,2030,18149
San Miguel,2043,11195
Saguache,2046,6746
Eagle,2024,57189
Ouray,2030,5047
Custer,1990,1926
Cheyenne,1991,2477
Rio Blanco,2020,6534
Pueblo,1991,123482
Kiowa,2040,1327
Delta,2030,33057
Crowley,2009,5800
Fremont,2049,51911
Garfield,2010,56150
Routt,2048,35909
Denver,2007,570438
Saguache,2042,6692
Costilla,2024,3416
Morgan,1996,26048
Alamosa,2002,15271
Garfield,2023,63991
Elbert,1993,11535
Douglas,2013,306329
San Juan,1990,745
Mineral,2016,771
Morgan,2015,28339
Weld,2049,611246
Rio Grande,2030,11459
Hinsdale,2021,792
Costilla,2032,3256
Mineral,2015,750
Alamosa,2050,17142
Lake,2037,8528
Baca,2006,4086
Jackson,2038,1244
Custer,1994,2414
Montezuma,2028,27338
Conejos,2031,7156
Clear Creek,2016,9238
Sedgwick,2015,2388
Fremont,2011,47075
Arapahoe,2035,759590
Larimer,2029,407366
Huerfano,2019,6776
Jackson,1997,1599
Custer,2042,4080
Arapahoe,2046,816915
Clear Creek,2010,9155
Routt,2033,30564
Otero,2001,19899
Archuleta,2029,15032
Crowley,2033,6075
Jackson,2033,1275
Montrose,2008,39947
Weld,2026,384736
Phillips,2030,4516
Kit Carson,2041,7200
Weld,2018,313213
Ouray,2049,5716
Yuma,2041,10124
Elbert,2015,24062
Fremont,2016,47286
Teller,2021,24879
Pueblo,2047,193458
Routt,2004,21292
Kit Carson,2026,7042
Washington,1997,5214
Elbert,2020,26187
Clear Creek,2041,10986
Delta,2002,28776
El Paso,2012,648443
Moffat,2001,13090
Douglas,2038,448396
Gunnison,2039,19388
Prowers,1992,13102
Delta,2023,31336
Gunnison,2047,20218
Garfield,2049,94242
Sedgwick,2042,2357
Mineral,2031,925
Jackson,2037,1256
Custer,2044,4009
Washington,1996,5224
Eagle,1996,32928
Rio Blanco,2015,6620
Park,2027,18397
Prowers,2008,12687
Mesa,2034,190130
Saguache,2020,6409
Lake,2036,8475
Fremont,2045,51359
Kiowa,2000,1612
Larimer,2040,465225
Pitkin,1994,14539
Eagle,2027,58484
Montrose,2043,54852
Kiowa,1990,1688
Baca,2005,4100
Grand,2024,16171
Boulder,2026,342175
Sedgwick,2010,2367
Jefferson,2038,629288
Hinsdale,2009,828
Mineral,2024,915
Cheyenne,2043,1620
Boulder,2009,293641
Lincoln,2009,5465
Pitkin,2038,18168
Broomfield,2026,87408
Bent,2003,6658
Park,2004,15914
Montrose,2014,41385
Park,1998,13061
Lincoln,2001,6072
Conejos,2013,8071
Dolores,2019,2085
Boulder,1991,230977
Washington,2016,4745
Otero,2010,18838
Grand,1993,8930
Baca,1995,4432
Teller,2025,26041
San Juan,1991,703
Fremont,2043,51100
Gunnison,2009,15269
